CAMIS,DBA,BORO,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,GRADE,SCORE,Latitude,Longitude
40366543,JARDIN DE CHINA REST,Queens,11368.0,+17184763755,Chinese,2022-07-20,Violations were cited in the following area(s).,A,12.0,40.750754804569,-73.870360475566
40366574,BLARNEY STONE,Manhattan,10006.0,+16466698197,Irish,2023-10-05,Violations were cited in the following area(s).,A,11.0,40.706523941132,-74.013846556301
40366586,SHIMONS KOSHER PIZZA,Queens,11367.0,+17187931491,Jewish/Kosher,2023-02-15,Violations were cited in the following area(s).,A,11.0,40.727181176223,-73.822096177766
40366652,FASCATI'S PIZZERIA,Brooklyn,11201.0,+17182371278,Pizza,2022-12-20,Violations were cited in the following area(s).,A,3.0,40.698443928676,-73.992545623939
40366711,LI GRECI'S STAATEN RESTAURANT,Staten Island,10310.0,+17184486000,American,2022-10-13,Violations were cited in the following area(s).,B,22.0,40.629475941557,-74.11233734162
40366716,SHUN LEE PALACE RESTAURANT,Manhattan,10022.0,+12123718844,Chinese,2023-06-06,Violations were cited in the following area(s).,A,11.0,40.759376653074,-73.96948371139
40366742,TAMAQUA,Brooklyn,11229.0,+17186469212,Bottled Beverages,2023-04-27,Violations were cited in the following area(s).,A,13.0,40.59435177089,-73.930156614832
40366879,LA FUSTA RESTAURANT,Queens,11373.0,+17184298222,Latin American,2022-11-02,Violations were cited in the following area(s).,A,5.0,40.744706795371,-73.884569670655
40366938,LULU'S COFFEE SHOP,Bronx,10462.0,+17188223568,Coffee/Tea,2023-12-05,Violations were cited in the following area(s).,Z,27.0,40.831707036899,-73.850999305895
40366961,MITCHELL'S RESTAURANT,Brooklyn,11238.0,+17187893212,Soul Food,2023-04-27,Violations were cited in the following area(s).,A,12.0,40.678850369751,-73.968417476489
40367005,DA VINCI PIZZA,Brooklyn,11204.0,+17182325855,Pizza,2024-01-02,Violations were cited in the following area(s).,A,11.0,40.61897967707,-73.990342864857
40367038,MEXICO LINDO RESTAURANT,Manhattan,10010.0,+12126793665,Mexican,2023-10-26,Violations were cited in the following area(s).,A,13.0,40.739644067898,-73.979614944263
40367161,MARINA DEL REY,Bronx,10465.0,+17189316500,American,2022-04-14,Violations were cited in the following area(s).,A,8.0,40.814538549783,-73.815055436186
40367179,TWINS PUB,Manhattan,10001.0,+12126431688,Irish,2022-11-15,Violations were cited in the following area(s).,A,10.0,40.753053988387,-73.996556687381
40367189,BROOME STREET BAR,Manhattan,10013.0,+12129252086,American,2022-12-13,Violations were cited in the following area(s).,A,10.0,40.723116860955,-74.003124280993
40367232,O'HANLON'S PUB,Queens,11105.0,+17187289619,Irish,2022-12-21,Violations were cited in the following area(s).,A,4.0,40.774948266802,-73.912119596608
40367241,JG MELON RESTAURANT,Manhattan,10021.0,+12127440585,American,2023-10-27,Violations were cited in the following area(s).,A,10.0,40.771192500921,-73.959531818288
40367339,COCKTAIL ROOM (NYAC),Manhattan,10019.0,+12127677000,American,2023-12-14,Violations were cited in the following area(s).,A,2.0,40.766718222992,-73.978736594767
40367365,THE FLAME DINER,Manhattan,10019.0,+12127657962,American,2023-01-20,Violations were cited in the following area(s).,A,12.0,40.768431984928,-73.9853426732
40367373,JACKSON HOLE,Manhattan,10065.0,+12123717187,Hamburgers,2023-04-05,Violations were cited in the following area(s).,A,10.0,40.764309967429,-73.963456427466
40367377,ZUM STAMMTISCH,Queens,11385.0,+17183863014,German,2023-02-02,Violations were cited in the following area(s).,A,3.0,40.70186889553,-73.881596583326
40367442,BUDDY'S WONDER BAR,Staten Island,10302.0,+17184429768,American,2022-05-23,Violations were cited in the following area(s).,A,12.0,40.636755420817,-74.134937047229
40367728,MIMIS RESTAURANT & BAR,Manhattan,10022.0,+12126884692,Italian,2022-10-18,Violations were cited in the following area(s).,A,12.0,40.756216898717,-73.967528807602
40367749,LENNY'S CLAM BAR,Queens,11414.0,+17188455100,Seafood,2023-03-13,Violations were cited in the following area(s).,A,11.0,40.655550935611,-73.83896749314
40367752,GRIFFIS FACULTY CLUB,Manhattan,10065.0,+16469623939,American,2023-04-25,Violations were cited in the following area(s).,A,10.0,40.764156112386,-73.955283592822
40367789,DANI PIZZA AND RESTAURANT,Queens,11415.0,+17188462849,Pizza,2022-12-19,Violations were cited in the following area(s).,A,13.0,40.708866954929,-73.830434010524
40367790,MCDONALD'S,Brooklyn,11226.0,+17186935353,Hamburgers,2023-01-17,Violations were cited in the following area(s).,A,5.0,40.648723192538,-73.958298253196
40367841,CAFE FIORELLO,Manhattan,10023.0,+12125955330,Italian,2023-10-30,Violations were cited in the following area(s).,A,13.0,40.771511149198,-73.982150446461
40367860,L&B SPUMONI GARDENS,Brooklyn,11223.0,+17184491230,Pizza,2022-10-20,Violations were cited in the following area(s).,A,12.0,40.594393518287,-73.981359004171
40367870,AMORE PIZZERIA & RESTAURANT,Queens,11354.0,+17184450579,Pizza,2023-03-09,Violations were cited in the following area(s).,A,13.0,40.769658810731,-73.834693968308
40368018,THE PATIO,Bronx,10460.0,+17182205069,American,2023-05-10,Violations were cited in the following area(s).,A,7.0,40.850536751997,-73.88245508146
40368021,ZOO BREWS-BRONX ZOO,Bronx,10460.0,+17182207937,American,2022-04-14,Violations were cited in the following area(s).,A,2.0,40.850536751997,-73.88245508146
40368034,ROADHOUSE RESTAURANT,Staten Island,10301.0,+17184470033,Italian,2022-02-15,Violations were cited in the following area(s).,A,10.0,40.613366849845,-74.100456725438
40368157,ELEPHANT & CASTLE,Manhattan,10011.0,+12122431400,American,2023-11-28,Violations were cited in the following area(s).,A,9.0,40.736313732048,-74.000941800769
40368207,MILL BASIN KOSHER DELI,Brooklyn,11234.0,+17182414910,Jewish/Kosher,2022-08-19,Violations were cited in the following area(s).,A,11.0,40.615314177459,-73.918410519092
40368223,OYSTER BAR,Manhattan,10017.0,+12124906650,Seafood,2022-09-27,Violations were cited in the following area(s).,A,10.0,40.752513822619,-73.977304639681
40368271,CHERRY TAVERN,Manhattan,10009.0,+12127771448,Bottled Beverages,2022-02-08,Violations were cited in the following area(s).,A,5.0,40.72599520843,-73.985196904415
40368291,COLONNADE DINER,Staten Island,10306.0,+17183512900,American,2023-10-31,Violations were cited in the following area(s).,A,10.0,40.581163905657,-74.098543291202
40368313,RED FLAME DINER,Manhattan,10036.0,+12128693965,American,2023-04-05,Violations were cited in the following area(s).,A,13.0,40.755627203336,-73.981938150269
40368318,MAGGIES PLACE,Manhattan,10017.0,+12127535757,American,2022-01-06,Violations were cited in the following area(s).,A,12.0,40.75615887998,-73.977386411729
40368338,BRADY'S BAR,Manhattan,10028.0,+12128616070,American,2022-11-07,Violations were cited in the following area(s).,A,12.0,40.775433620871,-73.953532090009
40368374,JIMMY'S CORNER,Manhattan,10036.0,+12122219510,American,2023-02-14,Violations were cited in the following area(s).,A,8.0,40.756612923674,-73.984331004337
40368555,IL CORTILE RESTAURANT,Manhattan,10013.0,+12122266060,Italian,2023-08-31,Violations were cited in the following area(s).,A,13.0,40.717890850638,-73.99810609883
40368577,DENNY'S PUB,Brooklyn,11218.0,+17184352156,American,2023-01-11,Violations were cited in the following area(s).,A,8.0,40.642931856285,-73.978869881609
40368581,MARIES CRISIS CAFE,Manhattan,10014.0,+12122439323,Bottled Beverages,2023-06-04,Violations were cited in the following area(s).,A,9.0,40.733135251667,-74.003287124204
40368632,NEW PARKWAY RESTAURANT,Brooklyn,11228.0,+17187454371,American,2023-04-24,Violations were cited in the following area(s).,B,15.0,40.620195775133,-74.00754646331
40368725,CAFE RIAZOR,Manhattan,10011.0,+12127272132,Spanish,2023-11-15,Violations were cited in the following area(s).,A,13.0,40.740439115543,-74.000025260594
40368763,THE BROOK,Manhattan,10022.0,+12127537020,American,2023-05-02,Violations were cited in the following area(s).,A,10.0,40.759426587413,-73.971541211282
40368801,MARBELLA RESTAURANT,Queens,11361.0,+17184230100,Latin American,2023-01-03,Violations were cited in the following area(s).,A,7.0,40.761601625705,-73.760759718274
40368809,P.J.' S,Queens,11366.0,+13472683989,American,2022-03-10,Violations were cited in the following area(s).,A,5.0,40.729537226386,-73.779969217943
40368824,DOUBLES CLUB,Manhattan,10022.0,+12127519595,American,2022-03-09,Violations were cited in the following area(s).,A,11.0,40.764532145131,-73.972809729679
40368897,HATSUHANA RESTAURANT,Manhattan,10017.0,+12123553345,Japanese,2023-06-26,Violations were cited in the following area(s).,A,12.0,40.756891688533,-73.977173198465
40369012,VALENTINO'S PIZZA,Queens,11367.0,+17185916464,Pizza,2022-08-31,Violations were cited in the following area(s).,A,0.0,40.728528733563,-73.815074973898
40369016,VIAND COFFEE SHOP,Manhattan,10065.0,+12127516622,Greek,2023-04-18,Violations were cited in the following area(s).,A,12.0,40.764924053413,-73.970416146817
40369051,STEVE'S COFFEE SHOP,Queens,11358.0,+17184456691,Coffee/Tea,2023-10-20,Violations were cited in the following area(s).,A,8.0,40.761746413664,-73.803802767367
40369158,JODY'S CLUB,Staten Island,10301.0,+17187276338,American,2022-10-25,Violations were cited in the following area(s).,A,13.0,40.63100906274,-74.101895649669
40369165,REIF'S TAVERN,Manhattan,10128.0,+12124260519,American,2023-10-03,Violations were cited in the following area(s).,Z,19.0,40.781511138984,-73.948577300186
40369262,JOHN'S PIZZERIA,Queens,11373.0,+17184577561,Pizza,2023-02-01,Violations were cited in the following area(s).,A,5.0,40.734921850516,-73.882013926505
40369299,SEASHORE RESTAURANT,Bronx,10464.0,+17188850300,Seafood,2023-10-31,Violations were cited in the following area(s).,A,13.0,40.854116926666,-73.790573593575
40369418,CAFFE REGGIO,Manhattan,10012.0,+12124759557,Italian,2023-08-29,Violations were cited in the following area(s).,A,13.0,40.730206634013,-74.000317512808
40369461,CAFE UN DEUX TROIS,Manhattan,10036.0,+12123544148,French,2023-03-08,Violations were cited in the following area(s).,B,27.0,40.756483871142,-73.98397730097
40369482,ARMANDO'S PIZZA,Brooklyn,11239.0,+17186428253,Pizza,2022-12-15,Violations were cited in the following area(s).,A,7.0,40.647983742716,-73.881926814947
40369521,KNICKERBOCKER BAR & GRILL,Manhattan,10003.0,+12122288490,American,2023-11-14,Violations were cited in the following area(s).,A,11.0,40.731968639466,-73.994450594757
40369608,THE RIVER CAFE,Brooklyn,11201.0,+17185225200,American,2023-12-28,Violations were cited in the following area(s).,A,9.0,40.702959180239,-73.99433760709
40369619,MUDVILLE9,Manhattan,10007.0,+12129649464,American,2022-12-07,Violations were cited in the following area(s).,A,12.0,40.715299468091,-74.008790965756
40369641,JOHNNY'S REEF RESTAURANT,Bronx,10464.0,+17188852086,Seafood,2023-05-11,Violations were cited in the following area(s).,A,13.0,40.837664418816,-73.782898935512
40369667,WHITE CASTLE,Brooklyn,11213.0,+17187563377,Hamburgers,2023-11-08,Violations were cited in the following area(s).,A,10.0,40.66349139936,-73.932264652274
40369669,WHITE CASTLE,Bronx,10467.0,+17182314978,Hamburgers,2023-09-13,Violations were cited in the following area(s).,A,9.0,40.865624074297,-73.862253934582
40369675,WHITE CASTLE,Queens,11104.0,+17187862475,Hamburgers,2023-04-06,Violations were cited in the following area(s).,A,2.0,40.743450594604,-73.921327711204
40369716,FERDINANDO'S RESTAURANT,Brooklyn,11231.0,+17188551545,Italian,2023-12-26,Violations were cited in the following area(s).,A,10.0,40.684124670454,-74.002062401532
40369782,MCDONALD'S,Brooklyn,11203.0,+17187780023,Hamburgers,2023-08-09,Violations were cited in the following area(s).,A,12.0,40.656181203396,-73.930844886732
40369849,GINO'S PIZZERIA,Queens,11364.0,+17182251475,Pizza,2022-11-09,Violations were cited in the following area(s).,A,12.0,40.748785698854,-73.756561590589
40369878,VILLA MOSCONI RESTAURANT,Manhattan,10012.0,+12126730390,Italian,2022-03-01,Violations were cited in the following area(s).,A,13.0,40.72853780392,-74.001731844504
40369958,SPARKS STEAK HOUSE,Manhattan,10017.0,+12126874855,Steakhouse,2023-04-06,Violations were cited in the following area(s).,A,12.0,40.753097308196,-73.972096155466
40369983,THE DART SPORTS BAR,Queens,11432.0,+17182911894,American,2022-03-09,Violations were cited in the following area(s).,A,12.0,40.715270326351,-73.807698905887
40370015,BAMONTE'S RESTAURANT,Brooklyn,11211.0,+17183848831,Italian,2023-12-06,Violations were cited in the following area(s).,A,12.0,40.716727740645,-73.951340215867
40370150,JOHN MULLIGAN'S FIRESIDE PUB,Bronx,10470.0,+13473468001,American,2023-04-03,Violations were cited in the following area(s).,A,11.0,40.89778438017,-73.867218605002
40370167,BURGER KING,Queens,11361.0,+17182251695,Hamburgers,2022-10-19,Violations were cited in the following area(s).,A,5.0,40.761859115241,-73.7591993411
40370168,EAR INN,Manhattan,10013.0,+12122269060,American,2023-08-14,Violations were cited in the following area(s).,C,35.0,40.725993041785,-74.009301091655
40370436,ROSSINI'S,Manhattan,10016.0,+12126830135,Italian,2022-12-19,Violations were cited in the following area(s).,A,12.0,40.749349425399,-73.978940662754
40370463,THREE GUY'S RESTAURANT,Manhattan,10021.0,+12126288108,American,2023-09-25,Violations were cited in the following area(s).,A,11.0,40.773974376779,-73.963841035522
40370507,THE PLAYERS,Manhattan,10003.0,+12124756116,American,2023-01-17,Violations were cited in the following area(s).,A,12.0,40.737775898673,-73.986482515651
40370766,SMITH & WOLLENSKY,Manhattan,10017.0,+12127531530,American,2023-10-19,Violations were cited in the following area(s).,A,4.0,40.755051274002,-73.970875339288
40370781,MCDONALD'S,Queens,11357.0,+17187466063,Hamburgers,2023-03-24,Violations were cited in the following area(s).,A,13.0,40.7806191184,-73.802039011533
40370856,OLIVE TREE CAFE & COMEDY CELLAR,Manhattan,10012.0,+12122543480,American,2023-04-28,Violations were cited in the following area(s).,A,10.0,40.730129780372,-74.000386066263
40370939,MANDUCATIS,Queens,11101.0,+17187294602,Italian,2023-11-22,Violations were cited in the following area(s).,A,13.0,40.744468029044,-73.948905538843
40371454,WEST BANK CAFE,Manhattan,10036.0,+12126956909,American,2023-02-10,Violations were cited in the following area(s).,A,13.0,40.758609222912,-73.993051434231
40371684,LIBERMAN'S LUNCHEONETTE,Brooklyn,11204.0,+17188518696,Jewish/Kosher,2023-03-22,Violations were cited in the following area(s).,A,11.0,40.631503551354,-73.985008985692
40371718,ZAFI'S LUNCHEONETTE,Manhattan,10002.0,+12125332415,American,2022-07-13,Violations were cited in the following area(s).,A,4.0,40.714738553101,-73.982605794428
40371727,LA PALINA RESTAURANT,Brooklyn,11204.0,+17182369764,Italian,2023-04-12,Violations were cited in the following area(s).,A,10.0,40.610776716763,-73.978869293745
40371906,MARINER INN,Brooklyn,11234.0,+17183768058,American,2022-12-23,Violations were cited in the following area(s).,A,12.0,40.609339406683,-73.9319776615
40371988,NORTH SHORE DINER,Queens,11358.0,+17182258000,American,2023-07-06,Violations were cited in the following area(s).,Z,28.0,40.757847279125,-73.784564229619
40372112,GREEN HOUSE CAFE,Brooklyn,11209.0,+17188338200,American,2023-03-22,Violations were cited in the following area(s).,A,7.0,40.629821191692,-74.028450143173
40372196,MCDONALD'S,Bronx,10465.0,+17188221040,Hamburgers,2023-08-29,Violations were cited in the following area(s).,A,9.0,40.827578059403,-73.823272077449
40372262,LA RIPAILLE RESTAURANT,Manhattan,10014.0,+12122554406,French,2023-08-16,Violations were cited in the following area(s).,A,10.0,40.73735385778,-74.005741105387
40372357,MARINA CAFE,Staten Island,10308.0,+17189673077,Italian,2023-01-23,Violations were cited in the following area(s).,A,7.0,40.544300925933,-74.140905861928
40372417,DON FILIPPO RESTAURANT,Manhattan,10075.0,+12127443610,Italian,2023-04-21,Violations were cited in the following area(s).,A,13.0,40.774642508226,-73.959107283102
40372422,BURGER KING,Queens,11374.0,+17185750116,Hamburgers,2022-10-20,Violations were cited in the following area(s).,A,7.0,40.731773141489,-73.86656564973
40372466,"MURALS ON 54, RANDOLPH'S",Manhattan,10019.0,+12122472700,American,2022-03-18,Violations were cited in the following area(s).,A,13.0,40.761865222515,-73.977330319535
40372485,VETERANS OF FOREIGN WARS POST #107 CANTEEN,Brooklyn,11229.0,+17187696094,American,2022-11-03,Violations were cited in the following area(s).,A,2.0,40.598101670847,-73.931013300703
40372596,TROPICAL HOUSE BAKING CO.,Brooklyn,11213.0,+17187739523,Bakery Products/Desserts,2022-09-09,Violations were cited in the following area(s).,A,7.0,40.669434759348,-73.933830286475
